" ","StudentComments","Rating","totalwords","Sentiment"
"40923","he is a good teacher","5","5","positive"
"40924","he is a jenious but sometimes to much serious . overall a good teacher","5","14","positive"
"40925","he is good but his learning system is not so good.","2.92","11","negative"
"40926","he is really a very helpful teacher.he acts as a friend outside of the class that is really helpful & assential for all students.i wish his best luck as he wishes for us.","4.33","33","positive"
"40927","he is sincere and friendly person","3","6","neutral"
"40928","he should use the board to show the simulation, should leave using only slides.","4.17","14","positive"
"40929","ok","4.91","1","positive"
"40930","student's expectation from him was a bit high but he is unable to fullfill. he has some lackage of taking ai course.","4.33","22","positive"
"40931","excellent","4.5","1","positive"
"40932","he always like,belive and makes favour of those student who took any other course and have good relation with him.it not necessary that the have vary good result or not.this make harmful of those good student who has taken first time to him.","4.83","43","positive"
"40933","he is a excellent teacher!!!","4.75","5","positive"
"40934","he is a excellent teacher.","5","5","positive"
"40935","he is a good teacher","5","5","positive"
"40936","he is a very good teacher.","4.83","6","positive"
"40937","no comments for such a teacher like u.","1.25","8","negative"
"40938","bad","1","1","negative"
"40939","good","4","1","positive"
"40940","good teacher.","5","2","positive"
"40941","he is a good course instructor.","3.96","6","positive"
"40942","he is a good teacher","5","5","positive"
"40943","he is a very good teacher","5","6","positive"
"40944","he is a very good tescher","4.83","6","positive"
"40945","he is good","4.67","3","positive"
"40946","he is well enough in theoritical knowledge but some problems have occured in practical experience.","4.5","15","positive"
"40947","he says a lot but all of us understood a little.i don't know, why?","3.33","14","neutral"
"40948","helpfull & friendly .","1","4","negative"
"40949","may be he knows well but does not teaching in proper way.he want to gives evrything to the student but student does not took this cordially and he makes the ai course more difficult for the students.so,plz to understood the students mode and give topics if they took this easily.should be more considerable;","2.92","53","negative"
"40950","nice teacher.","1","2","negative"
"40951","not a bad teacher","3.21","4","neutral"
"40952","he is a good teacher","4.83","5","positive"
"40953","he is a great teacher who can make a student understand clearly about the subject.","4.42","15","positive"
"40954","he is a very good teacher","4.83","6","positive"
"40955","very good","5","2","positive"
"40956","he is a good teacher.","5","5","positive"
"40957","i think he has hudge knowledge of in my course subject.his behaviour simply cool.thats the main key of any teacher.thats way we learned well.","4.17","24","positive"
"40958","no comment.","5","2","positive"
"40959","very good","3.42","2","neutral"
"40960","fine","5","1","positive"
"40961","good and hounarable person","5","4","positive"
"40962","he is a great teacher . he is cordiall enough to teach the students. a good man & friend for students","5","21","positive"
"40963","he is one of good teacher in aiub.","5","8","positive"
"40964","good","3.13","1","neutral"
"40965","he has a very good command in his subject .","4.42","10","positive"
"40966","he is a good teacher","4.46","5","positive"
"40967","he is a good teacher as far as i know.best of luck sir","4.79","13","positive"
"40968","he is a good teacher.","4.33","5","positive"
"40969","he is ok","1.63","3","negative"
"40970","i cant beleived that how a theacher can be so hard worked.he always repeat any thing if any student asked him even about silly thing on lecture.he is very helpful to us.he has a wide knowledge about course and about a lots of other things.he represent the course material in such way that make us to pay interest on course.","4.29","60","positive"
"40971","mysterious behave. so no comments.","3.75","5","positive"
"40972","a teacher of all good qualities.","4.92","6","positive"
"40973","he is good for us. we have need this kind of techher.","5","12","positive"
"40974","superb","5","1","positive"
"40975","good","5","1","positive"
"40976","he is a very good teacher","4.46","6","positive"
"40977","he is a good teacher.","4.17","5","positive"
"40978","he is a perfect teacher>","4.88","5","positive"
"40979","he is a very very good teacher.","4.96","7","positive"
"40980","good teacher","5","2","positive"
"40981","he is a boss teacher,very very friendly.he always inspires students to study.i enjoy his class very much.i think he should be the icon for all teachers and students","5","28","positive"
"40982","he is a fine teacher. always smiling and very much helpful.any educational problem he discuss with us and make a solution which helps us a lot.","4.36","26","positive"
"40983","he is a good teacher.","5","5","positive"
"40984","he is good. :)","4.38","4","positive"
"40985","very helpful","5","2","positive"
"40986","you are cooool. i like you man.","4.75","7","positive"
"40987","aiub should keep this type of teacher, as he is very comunicative with the students and have all other personality that a teacher should have.","4.83","25","positive"
"40988","he is good enough","4.93","4","positive"
"40989","good sir","4.79","2","positive"
"40990","he is good but, his behavier is little bit abnormal","3.46","10","neutral"
"40991","well","2.88","1","negative"
"40992","he is best teacher","4.96","4","positive"
"40993","he is very much helpful to us.","5","7","positive"
"40994","his taching mehtod is very good and helpful for student.","4.83","10","positive"
"40995","i am surprised that how can a teacher be so hard working.","4.66","12","positive"
"40996","good","5","1","positive"
"40997","he is a good teacher","4.67","5","positive"
"40998","he is a good teacher.","5","5","positive"
"40999","he is a nice teacher.","3.67","5","positive"
"41000","he is good teacher for this course.","5","7","positive"
"41001","he is the best teacher but lasy","5","7","positive"
"41002","he is very punctual and helpful person","4","7","positive"
"41003","if students can see there quiz exam paper and midexam paper ,then they can understand there faults and can do well in final.","4.38","23","positive"
"41004","no thanks","2.92","2","negative"
"41005","fine","3.75","1","positive"
"41006","good enough","2.88","2","negative"
"41007","good teacher","5","2","positive"
"41008","he is a good teacher what student wants.","4.67","8","positive"
"41009","he is a good teacher.","5","5","positive"
"41010","he is a good teacher.","5","5","positive"
"41011","he is a very nice person as well as a very good faculty.","4.88","13","positive"
"41012","he is so nice.","2.92","4","negative"
"41013","ok","4.47","1","positive"
"41014","well teching style besides hope to be consider about missed quiz.he is very good teacher.","3.58","15","positive"
"41015","bad teacher!","1","2","negative"
"41016","excellent in teaching.","5","3","positive"
"41017","he good but not smily","2.88","5","negative"
"41018","he has too many things to improve!!!","1.96","7","negative"
"41019","he is a good teacher","2.54","5","negative"
"41020","he is a good teacher","3.83","5","positive"
"41021","he is good teacher","3.88","4","positive"
"41022","he is nice but having some problem","4.17","7","positive"
"41023","he is not so good.","4.79","5","positive"
"41024","good","5","1","positive"
"41025","good teacher","5","2","positive"
"41026","good teacher","4.96","2","positive"
"41027","he is a good teacher","4.47","5","positive"
"41028","he is a good teacher","5","5","positive"
"41029","he is a good teacher.","4.92","5","positive"
"41030","he is a very very good and well qualified teacher.","5","10","positive"
"41031","he is agood teacher","5","4","positive"
"41032","sir,behabe is not good.not friendly.alltime cretisise student.for his behabe student study mentality dagage","1.92","13","negative"
"41033","well","4.83","1","positive"
"41034","as usual","4.04","2","positive"
"41035","good","4.25","1","positive"
"41036","good","5","1","positive"
"41037","he is a good teacher","5","5","positive"
"41038","he is agood teacher.","4.83","4","positive"
"41039","he is good teacher & we all proud of him.","5","10","positive"
